epoch,train_loss,train_accuracy,epoch_seconds
1,0.9130419833319527,0.5938957185247986,8.442293900065124
2,0.8197725362421951,0.6434930055108097,8.379163899924606
3,0.787038725202697,0.6659601526070369,8.387243800098076
4,0.7216040906435153,0.6998728274692666,8.367878899909556
5,0.6270447545963205,0.7431114879186096,8.3903302999679
6,0.6142583737791772,0.7558287409919457,8.401314599905163
7,0.579235358554562,0.7672742687579482,8.355159599799663
8,0.5509770480997231,0.7825349724459517,8.368066399823874
9,0.5703128531935256,0.7676981771937261,8.36251960019581
10,0.5184498485138276,0.7888935989826198,8.368943399982527
11,0.4800446104225136,0.8143281051292921,8.362372900126502
12,0.48020291891882305,0.8109368376430691,8.38329969998449
13,0.4583885546279388,0.8168715557439593,8.377916199853644
14,0.4584621387096015,0.8139041966935142,8.359688099939376
15,0.42765480252128885,0.8308605341246291,8.364853299921378
16,0.4240566255708729,0.8380669775328529,8.366194899892434
17,0.43746833100870736,0.8321322594319627,8.369059200165793
18,0.41761462052477877,0.8406104281475202,8.336292800027877
19,0.397795122323677,0.8512081390419669,8.341820199973881
20,0.40437669827807704,0.8359474353539635,8.362890199990943
21,0.40982204095798813,0.8363713437897414,8.353633099934086
22,0.3817011564275176,0.8529037727850785,8.371239600004628
23,0.37184904689453274,0.8550233149639678,8.382162800058722
24,0.3877230177445147,0.8469690546841883,8.396599099971354
25,0.3363322806641327,0.8698601102161932,8.390195300104097
26,0.3678676966591981,0.8601102161933023,8.32732619997114
27,0.33694766059157805,0.8694362017804155,8.373653500108048
28,0.3281725973787829,0.8690122933446376,8.363580399891362
29,0.3644390468781355,0.8592623993217465,8.351722999941558
30,0.35637812755430287,0.8601102161933023,8.367478300118819
31,0.3490258359767563,0.8622297583721916,8.383395200129598
32,0.34751122459712397,0.8601102161933023,8.364445499842986
33,0.3107626824598284,0.8821534548537516,8.346683899872005
34,0.3134175976892304,0.8779143704959729,8.350431400118396
35,0.2959120843485282,0.8863925392115303,8.382712999824435
36,0.31262908593584493,0.877490462060195,8.398286600131541
37,0.3453340873520169,0.8685883849088597,8.38917089998722
38,0.3113112575096213,0.8893598982619754,8.425824200036004
39,0.2881563953256243,0.8948707079270878,8.358271700097248
40,0.29216345487736506,0.8931750741839762,8.368732899893075
41,0.28944306515848905,0.8919033488766427,8.37064540013671
42,0.29021078925508725,0.8885120813904197,8.392528400057927
