epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.6781330168096326,0.7179746835443038,0.9156420193378281,0.5786163522012578,0.5394835871616057,0.4945236160242026,0.8657292466821273,7.577103500021622
2,0.44694698078722894,0.8248101265822785,1.4505604005553439,0.5283018867924528,0.5819169847168232,0.5277675469087861,0.9038321629302146,7.602093500085175
3,0.3364274383873879,0.8774683544303797,0.5438044454816502,0.779874213836478,0.7830343639200822,0.772744858370832,0.9377969585428065,7.563027600059286
4,0.3017314449367644,0.8825316455696203,0.626173838941806,0.7358490566037735,0.735531471215951,0.7119981674475193,0.94410315471176,7.567151000024751
5,0.26936904970603653,0.899746835443038,0.5172210175161341,0.8029350104821803,0.8154443433754243,0.8004766861004627,0.9521080850555356,7.5525976999197155
6,0.24160836191117008,0.9108860759493671,0.7309590316059329,0.750524109014675,0.7897759848224245,0.7520604206031553,0.9512375639985681,7.558839800069109
7,0.21880413515658317,0.9113924050632911,0.41134101013405017,0.8511530398322851,0.8666816230687546,0.8542498519983374,0.9673719505823448,7.542142099933699
8,0.24935577846780607,0.9037974683544304,0.2772196169466218,0.8951781970649895,0.8967110871808678,0.8952853534772585,0.9780429138769686,7.560376500012353
9,0.1911375225042995,0.9270886075949367,0.8631203002384249,0.7190775681341719,0.7605987636947389,0.7210463078951032,0.9519615287265744,7.568382200086489
10,0.18100075468986848,0.9275949367088607,0.6066846250433404,0.7861635220125787,0.8174729753677122,0.7858670780454596,0.9719234077463016,7.563640100182965
11,0.1431129450850849,0.9473417721518987,0.41926212428016607,0.8511530398322851,0.8516401961010928,0.840490535217489,0.973957162125452,7.600281500024721
12,0.1546504297512996,0.9483544303797469,0.4029634641151508,0.8658280922431866,0.8896179455070289,0.8684381860852449,0.9783471778452393,7.581681800074875
13,0.1574468158921109,0.9437974683544303,0.5066422262781571,0.8197064989517819,0.8488288457328705,0.8195940024684134,0.97437425400507,7.566310799913481
14,0.14950461985189703,0.9448101265822785,0.5131980095993907,0.8490566037735849,0.8764111705288177,0.8498388956722289,0.977593615770784,7.5496781000401825
15,0.14460739366615874,0.9493670886075949,0.3103146974536233,0.8888888888888888,0.9017718804231122,0.8900972986229937,0.9792617867888423,7.591807099990547
16,0.13199713430827176,0.9468354430379747,0.48289992802423004,0.8637316561844863,0.8825361344408322,0.8682356222823858,0.9802978637973836,7.57945440011099
17,0.14691400915761538,0.9468354430379747,0.5332301926937743,0.8322851153039832,0.8557330835160961,0.8393769942900905,0.9757047147138879,7.586604400072247
18,0.1059292120495929,0.9625316455696202,0.3867856453659025,0.859538784067086,0.8808831347531038,0.8593073322484855,0.9808380254669923,7.581654699984938
19,0.11060139421798006,0.959493670886076,0.2440067568989871,0.9119496855345912,0.905383987494635,0.9134673703522461,0.9890287198428608,7.58245259989053
20,0.10098193519288981,0.9615189873417721,0.2600651634447042,0.9014675052410901,0.9151160730108098,0.9025451424934308,0.9858964482435079,7.577701299916953
21,0.11857891266104541,0.9544303797468354,0.2978101193326949,0.8721174004192872,0.8789919203703024,0.8719562415063097,0.9818308440052218,7.580265499884263
22,0.11281259456767312,0.9615189873417721,0.2946107083427831,0.8972746331236897,0.9117901317659024,0.8972336250176521,0.9852791366181811,7.600774500053376
23,0.08566618198080908,0.9716455696202532,0.3211622511542381,0.8888888888888888,0.9013242760988084,0.887840101526384,0.9827843055082712,7.584620099980384
24,0.10248164926903157,0.9584810126582278,0.3475384289673415,0.8867924528301887,0.8810884453635834,0.8843516186315376,0.9889611388929852,7.593685999978334
25,0.08490705216232734,0.9696202531645569,0.38717545329229963,0.8742138364779874,0.8844586213007265,0.867891053799373,0.9857019112541247,7.59684280003421
26,0.10456409273268301,0.9640506329113924,0.39180727495442863,0.8679245283018868,0.8749069190582182,0.8627308779479944,0.9773644696979956,7.5797607998829335
27,0.08271577709837805,0.9686075949367089,0.2866345936182566,0.9182389937106918,0.9337127727220608,0.9208217692283153,0.9880287376090139,7.510315099963918
28,0.0656398599811747,0.979240506329114,0.26871361138661654,0.9182389937106918,0.9226606260931204,0.9205746738641475,0.985546305368081,7.562045599799603
29,0.0968701367929012,0.9625316455696202,0.36765249842773945,0.8888888888888888,0.9124155813077607,0.8933912860537169,0.9889692395326278,7.55753879994154
30,0.0772235353234448,0.9711392405063292,0.17483725657674876,0.9433962264150944,0.94584649383411,0.9423469387755102,0.9912677302271673,7.560555899981409
31,0.06109832922114602,0.9762025316455696,0.4352432199142702,0.870020964360587,0.8917763809404676,0.8699626863120704,0.9811966397030876,7.576118399854749
32,0.08402238785466061,0.9696202531645569,0.38337395521392365,0.9014675052410901,0.9218488107167606,0.9074122717200201,0.9871117537257456,7.56640260014683
33,0.08176370073345643,0.9716455696202532,0.227324383803517,0.9245283018867925,0.9238066490724991,0.9238221346734746,0.9887629806768256,7.541816100012511
34,0.06427412791719919,0.9772151898734177,0.21316799259426333,0.9329140461215933,0.9383587750797334,0.936101641626441,0.9885959270552424,7.570785300107673
