variant,label,result_source,is_selected_reference,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_roc_auc,slice_accuracy,slice_balanced_accuracy,slice_macro_f1,slice_macro_roc_auc,total_parameters,gflops,delta_patient_accuracy_vs_reference,delta_patient_macro_f1_vs_reference
without_residual_reference,Selected DSSE-Net (without residual),frozen_reference,True,0.9313304721030042,0.9349269353512671,0.929492815038684,0.9935516763938329,0.9160696008188332,0.9095925146997343,0.9076702990678203,0.9851011963184985,287881,0.299073184,0.0,0.0
with_residual_connection,With residual connection,precomputed_control,False,0.9098712446351931,0.9155608989942744,0.9072595388144106,0.9904230060873317,0.917093142272262,0.9071864881282394,0.9075347327676546,0.9848120043147425,287881,0.299073184,-0.02145922746781115,-0.0222332762242734
no_residual_without_vertical_flip,No residual + without vertical flip,precomputed_control,False,0.927038626609442,0.9311816169992073,0.9271558744070575,0.9927597484270029,0.914704878880928,0.9068381955258392,0.9063381761378126,0.9860105624303879,287881,0.299073184,-0.0042918454935622075,-0.002336940631626483
no_residual_without_se,No residual + without SE,new_ablation,False,0.8969957081545065,0.9049968027770166,0.8962615929902699,0.9890835595468976,0.90992835209826,0.902414264767084,0.9017424133800832,0.9837805506026861,264547,0.296741824,-0.03433476394849777,-0.03323122204841411
no_residual_standard_convolution,No residual + standard convolution,new_ablation,False,0.8025751072961373,0.816427832636427,0.8026109218816092,0.9682396097178542,0.7956328897987035,0.7983812458582156,0.7913402862270923,0.942810529174217,1872169,2.330298016,-0.1287553648068669,-0.12688189315707477
no_residual_without_dropout,No residual + without dropout,new_ablation,False,0.9184549356223176,0.9233388437545123,0.9192826385532628,0.9867999206557312,0.9109518935516888,0.9100836934387506,0.9048811530296229,0.9830482150126318,287881,0.299073184,-0.012875536480686622,-0.010210176485421218
no_residual_without_augmentation,No residual + without augmentation,new_ablation,False,0.9055793991416309,0.9101521406660243,0.9068060030820958,0.9892141592578984,0.9078812691914022,0.909275770283124,0.9026608553119492,0.9840722073836918,287881,0.299073184,-0.025751072961373356,-0.02268681195658817
