epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,1.0255134243802502,0.484569572279372,1.5068106721155345,0.40234375,0.34545454545454546,0.2130631743678445,0.7805829020598812,7.509884800063446
2,0.8560323060107476,0.6145100162425555,0.7642998304218054,0.662109375,0.6052100210021002,0.6081016640238158,0.8830106218280802,7.452705200063065
3,0.7769191807259982,0.6724417975094749,0.8218184020370245,0.669921875,0.5966456645664566,0.5830193743478406,0.8809568356376395,7.4406445999629796
4,0.7259207118119042,0.7043854899837575,0.6456574462354183,0.759765625,0.7028832883288328,0.7138871506049229,0.900071887697825,7.439485999988392
5,0.640734719178066,0.7347049269085003,0.6357868015766144,0.748046875,0.6903540354035403,0.6997247665122212,0.9168468242860545,7.491666400106624
6,0.593490274002827,0.7628586897671901,0.5243819118477404,0.810546875,0.7664401440144015,0.7831985380403275,0.9305539795697468,7.555796900065616
7,0.6007012008297553,0.7671900378992962,0.47193096578121185,0.830078125,0.8023297329732973,0.814065929365208,0.942622350354457,7.511735699838027
8,0.564269507970433,0.7682728749323227,0.4309544153511524,0.8515625,0.8150105010501051,0.8272514625040998,0.9493416491916774,7.528251699870452
9,0.4978916721532457,0.7996751488900921,0.38171164505183697,0.873046875,0.8536828682868287,0.8589751680437027,0.9616463796739846,7.560106599936262
10,0.5075611445344843,0.8034650785056849,0.3742990316823125,0.8828125,0.8551485148514851,0.8644590403211092,0.9630451778396054,7.54188339994289
11,0.4632765849700281,0.8159177043854899,0.38993322756141424,0.861328125,0.815112511251125,0.8314824843502565,0.966128078695707,7.550392800010741
12,0.46302062092307583,0.8256632376827288,0.35669577261433005,0.873046875,0.8387983798379838,0.8548733683582969,0.9699006864479456,7.5242727000731975
13,0.42476073873966014,0.8348673524634542,0.3466369123198092,0.884765625,0.8527407740774078,0.8637391375820912,0.9654961000572113,7.517097800038755
14,0.4249955480913246,0.8402815376285869,0.30017417343333364,0.900390625,0.8769501950195021,0.886519904777618,0.9737631368943162,7.550297900103033
15,0.3880274705649326,0.8516513264753655,0.3019498640205711,0.892578125,0.8717791779177917,0.8789359629878915,0.973012397541743,7.539541099919006
16,0.4002484408790638,0.8413643746616134,0.30933365877717733,0.892578125,0.8690519051905191,0.8773261207156148,0.9716374338954209,7.509165299823508
17,0.4075005219863051,0.8456957227937195,0.3001127173192799,0.888671875,0.881983198319832,0.8786359383329535,0.9760890522036166,7.744530199794099
18,0.3653059315055399,0.8586897671900379,0.2595602177316323,0.90625,0.8914461446144615,0.8958239493016961,0.9804275081409849,7.426750499987975
