epoch,train_loss,train_accuracy,epoch_seconds
1,0.31777760499076807,0.8840070298769771,12.990882500074804
2,0.13264965534419712,0.9521089630931459,12.864699200028554
3,0.08149181654666975,0.9740773286467487,12.897559099830687
4,0.06603057184772196,0.9784710017574693,12.951995400013402
5,0.04665780666992985,0.9850615114235501,12.904749900102615
6,0.03188975281916847,0.9885764499121266,12.884272399824113
7,0.028748250109763892,0.9916520210896309,12.88560639997013
8,0.06313831489926011,0.9793497363796133,12.903738500084728
9,0.0331302041511963,0.9881370826010545,12.883925199974328
10,0.02497719890177774,0.9947275922671354,12.880478100152686
11,0.012569450090765325,0.9982425307557118,12.874505599960685
12,0.018776282249918775,0.9947275922671354,12.837476700078696
13,0.014034764128385245,0.9956063268892794,12.851383799919859
14,0.015214718326984338,0.9964850615114236,12.866917899809778
15,0.016903497211582737,0.9938488576449912,12.867573599796742
16,0.012639324911599996,0.9978031634446397,12.880836900090799
17,0.00496351477233382,0.9995606326889279,12.91697739996016
18,0.006967619284480051,0.9973637961335676,12.87350509990938
19,0.006126835735216868,0.9986818980667839,12.896754799876362
20,0.00741750827821885,0.9986818980667839,12.842477499973029
21,0.04730626697994127,0.9868189806678384,12.892538500018418
22,0.04952800987854678,0.9815465729349736,12.829813100164756
23,0.026511239352748975,0.9925307557117751,12.86509869992733
24,0.023499178076539392,0.9947275922671354,12.856867500115186
25,0.03351076090993173,0.9925307557117751,12.901059599826112
26,0.009421267378330558,0.9986818980667839,12.889223200036213
27,0.005439243443892951,0.9995606326889279,12.932689900044352
28,0.006646722314555218,0.9991212653778558,12.937237899983302
29,0.011623546700920135,0.9960456942003515,12.921243299962953
30,0.008677946285775132,0.9978031634446397,12.878243200015277
31,0.03385227696228648,0.9898945518453427,12.873223399976268
32,0.01346113330435813,0.9956063268892794,12.884956500027329
33,0.014249164920450828,0.9951669595782073,12.930045400047675
