epoch,train_loss,train_accuracy,epoch_seconds
1,0.8178058107421823,0.639554794520548,7.850523500004783
2,0.6549542501364669,0.723458904109589,7.720157300005667
3,0.5749548200058611,0.7679794520547946,7.777317599975504
4,0.49274546744888775,0.7996575342465754,7.715028499951586
5,0.45272355924730434,0.822345890410959,7.751055900007486
6,0.38474408792306297,0.8505993150684932,7.778916100040078
7,0.3556683338055872,0.860445205479452,7.764416499994695
8,0.32456232821696424,0.8741438356164384,7.783664999995381
9,0.31594951573300034,0.8788527397260274,7.797473500017077
10,0.3167157576304592,0.8792808219178082,7.767368300003
11,0.29653774354964085,0.882277397260274,7.848850699956529
12,0.25982810526269756,0.9006849315068494,7.763804000103846
13,0.2764208950612643,0.8981164383561644,7.778252599993721
14,0.24198501271336045,0.9126712328767124,7.775719899917021
15,0.22626439655480318,0.9169520547945206,7.817676200065762
16,0.2311735460917427,0.9152397260273972,7.7786304000765085
17,0.22948836708722048,0.9113869863013698,7.7819421999156475
18,0.20847146708058983,0.9212328767123288,7.78229130001273
19,0.21056738133503966,0.9199486301369864,7.817378700012341
20,0.19692352352893516,0.928082191780822,7.819260200019926
21,0.20444882803992048,0.9272260273972602,7.82473160000518
22,0.18210132149596736,0.9332191780821918,7.808761800057255
23,0.184353380578838,0.927654109589041,7.817455900018103
24,0.1671142006063298,0.9340753424657534,7.79643590003252
25,0.1558594668972982,0.9379280821917808,7.784707000013441
26,0.17294524227307267,0.9332191780821918,7.79259440000169
27,0.17679231384233252,0.9306506849315068,7.755233500036411
28,0.1714774843254318,0.9375,7.798702699947171
29,0.16161823262498803,0.9404965753424658,7.8197243000613526
30,0.14988490872799534,0.944777397260274,7.730698399944231
31,0.14840737078338861,0.9464897260273972,7.760780400014482
32,0.15092948752723329,0.9456335616438356,7.7854754000436515
33,0.1342383460970978,0.9529109589041096,7.759982199990191
34,0.14193967164634433,0.9413527397260274,7.7366225000005215
35,0.14608697072692114,0.9456335616438356,7.774841399979778
36,0.12324642188438814,0.9576198630136986,7.783151400042698
37,0.16317400014767908,0.9387842465753424,7.742128400015645
38,0.11787007302556136,0.9554794520547946,7.745710400049575
39,0.12106592046122437,0.9550513698630136,7.775367100024596
40,0.11828833565830368,0.9584760273972602,7.768052899977192
41,0.11504502938932752,0.9576198630136986,7.7706544999964535
42,0.11088068331655575,0.9610445205479452,7.7808174000820145
43,0.10005391958131366,0.961472602739726,7.783492500078864
44,0.11917458622627063,0.954195205479452,7.784940700046718
45,0.12433850066098448,0.9524828767123288,7.795717799919657
