outer_fold,inner_fold,best_epoch,best_validation_macro_f1
1,0,48,0.8771735487841288
1,1,36,0.9443404273024195
1,2,43,0.9408180571522463
1,3,46,0.8893592677345538
1,4,47,0.9454840580845941
