epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.5930008341842284,0.7663650878126663,0.40633126141205916,0.8533916849015317,0.7923292530844018,0.782941713842301,0.9391525503741837,11.033968299860135
2,0.15518596533243806,0.9419904204364024,0.3304881789760778,0.9299781181619255,0.8585579286380202,0.8696053932104025,0.942622452989887,10.953628099989146
3,0.10655671185821279,0.961149547631719,0.3496462357572088,0.9212253829321663,0.8482577215986827,0.8579752294718447,0.9592591866560048,10.942233000183478
4,0.05981553747195269,0.9835018626929217,0.2589410881346797,0.925601750547046,0.8556593779133824,0.8635988904755184,0.9770579982541842,10.965533199952915
5,0.061356249538474794,0.9787120808940926,0.18565887948844573,0.9540481400437637,0.9015185911639,0.9158288433409246,0.9834104794650856,10.93917110003531
6,0.04203717047576617,0.9904204364023417,0.3267321112608747,0.9452954048140044,0.8782091097308489,0.8956952821614476,0.9632525861260985,10.95298850000836
7,0.04230884075159343,0.9866950505588079,0.2627439299008363,0.912472647702407,0.8494666618236413,0.8480618325471294,0.9568761776518006,10.963463000021875
8,0.04664560694875966,0.9850984566258648,0.31490063654891615,0.9387308533916849,0.8733612412674198,0.8862461434113337,0.9528494140382101,10.917997599812225
9,0.024433587158089895,0.99308142629058,0.30687287389922324,0.925601750547046,0.8686686523070963,0.8694373773974421,0.9680124577069543,10.943078599870205
10,0.023166814412546956,0.9936136242682277,0.4434355116342052,0.9387308533916849,0.8643550300872955,0.8839256833252467,0.949569434060694,10.947716100141406
11,0.016100385890973255,0.9952102182011708,0.3951832707465042,0.949671772428884,0.880607618079014,0.9021813844412098,0.9558770438389566,10.947209400124848
12,0.02078105241036466,0.99308142629058,0.4240064570947481,0.9343544857768052,0.8794689017229063,0.8861161193009744,0.9511949129274297,10.961795500013977
13,0.017129412124368613,0.9962746141564662,0.4499402833493771,0.9452954048140044,0.8732059617643141,0.8941097886810785,0.9599862834498646,10.951138299889863
14,0.010358545641717662,0.9973390101117616,0.3728726925727039,0.9212253829321663,0.8887856719092416,0.8729346598365345,0.9736966750842401,10.935713400132954
