model_name,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
resnet50,0,slice_level,655,0.9435114503816794,0.9422834984920293,0.9404548903250282,0.9422834984920293,0.9368491422962862,0.9506364373115301,0.9435114503816794,0.9431203599630894,0.9881873499788889,0.9891213788673723,0.917350609433808,0.9138856119504811,0.35626440070348886,0.10241732098893971,0.04490838534777769
resnet50,0,patient_level,47,0.9574468085106383,0.9629629629629629,0.9558404558404558,0.9629629629629629,0.9575350140056021,0.9602655028186944,0.9574468085106383,0.9569247273377436,0.9911882760767142,0.9909129022115083,0.937503537862678,0.9355723098012337,0.26420917572534436,0.1043973052163702,0.07632257752455775
resnet50,1,slice_level,479,0.8997912317327766,0.8992691597292127,0.8843327454438565,0.8992691597292127,0.8890816541135954,0.9097629541262108,0.8997912317327766,0.9023081835036765,0.9814993029870259,0.9831918833230451,0.849040623333393,0.8465686143661746,0.39604065959388574,0.15604920747968107,0.07077448260400195
resnet50,1,patient_level,46,0.9565217391304348,0.9649122807017544,0.9444444444444445,0.9649122807017544,0.9511784511784511,0.963768115942029,0.9565217391304348,0.957290294246816,0.9935997400909682,0.9931561996779388,0.9362800660614645,0.9335260115606936,0.1405478530836267,0.08123679662532433,0.05703035600286237
resnet50,2,slice_level,630,0.9523809523809523,0.9330866849663842,0.9559864382847746,0.9330866849663842,0.9433180533946212,0.9539247409192325,0.9523809523809523,0.9521278734517518,0.9834361938063562,0.9865795940476418,0.9238309456212606,0.9226348364279399,0.2581010029700635,0.07975623739500017,0.03236750958834039
resnet50,2,patient_level,47,0.9574468085106383,0.9523809523809524,0.9666666666666667,0.9523809523809524,0.9568151147098516,0.9617021276595745,0.9574468085106383,0.9569299681281763,0.9993614303959131,0.9992663242846661,0.9380485644622124,0.9354395604395604,0.10682575477325378,0.06633458933273169,0.06302969487423268
resnet50,3,slice_level,572,0.9737762237762237,0.9685846560846562,0.970812999617214,0.9685846560846562,0.9696549892842304,0.9736431057540416,0.9737762237762237,0.9736744322831618,0.9986005085973731,0.9986939325306798,0.9587277663565189,0.9586951916966744,0.0793524374272954,0.041479758684744066,0.017261596021134553
resnet50,3,patient_level,47,0.9574468085106383,0.9576719576719577,0.9606481481481483,0.9576719576719577,0.9583831142970928,0.9587765957446809,0.9574468085106383,0.9573959683774371,0.996641289744738,0.9965094822028058,0.9363893850691042,0.9357484620642516,0.09961747660173323,0.05628650983900741,0.04278280337060685
resnet50,4,slice_level,595,0.9445378151260504,0.9511872585066202,0.9402469396788068,0.9511872585066202,0.9435788340148813,0.9501854537405986,0.9445378151260504,0.9453379702594399,0.9905623774959104,0.9897044098974799,0.9164253114187365,0.9142280524722503,0.2624025665190051,0.0928107055031527,0.03689141903782976
resnet50,4,patient_level,46,0.9565217391304348,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9629629629629629,0.9610983981693364,0.9565217391304348,0.9565217391304348,0.9980243223188315,0.9976400688544618,0.9355783308931186,0.9328467153284672,0.11723085117287255,0.06942263534461054,0.04005763342822598
