epoch,train_loss,train_accuracy,epoch_seconds
1,1.0157992625897705,0.5089722675367048,6.704859500052407
2,0.8274525393280664,0.6525285481239804,6.656766799977049
3,0.7046113771676629,0.7084013050570962,6.656826099846512
4,0.5931325475601738,0.7606035889070146,6.65678619989194
5,0.5497485940841438,0.7781402936378466,6.659375699935481
6,0.4965789463936213,0.800978792822186,6.657335200114176
7,0.5073113012663887,0.7850734094616639,6.620155700016767
8,0.45313543217411634,0.8258564437194127,6.662343999836594
9,0.3985018359214602,0.8389070146818923,6.6402320000343025
10,0.3762075984653019,0.8576672104404568,6.6585055000614375
11,0.3602304923398265,0.8605220228384992,6.637952600140125
12,0.3174776761605728,0.8633768352365416,6.659099200041965
13,0.32687390643076253,0.8690864600326265,6.65231280005537
14,0.2909919427522438,0.8858075040783034,6.644408900057897
15,0.29155988254710474,0.8874388254486134,6.671121400082484
16,0.26944576074987603,0.9061990212071778,6.622133400058374
17,0.2497261697472017,0.9066068515497553,6.6642953001428396
18,0.23335340655550094,0.9123164763458401,6.666220900136977
19,0.23357824135273939,0.9139477977161501,6.658780399942771
20,0.21313777181880508,0.9151712887438825,6.647633200045675
21,0.21861835614114172,0.914763458401305,6.644382500089705
22,0.18621907377126362,0.9290375203915171,6.663291500182822
23,0.18347496719237835,0.9310766721044046,6.64076009998098
24,0.20439999438761497,0.9233278955954323,6.651047900086269
25,0.1808295672665218,0.9298531810766721,6.6310334000736475
26,0.15054719739549507,0.9400489396411092,6.63733180006966
27,0.15841932665271044,0.9400489396411092,6.646804200019687
28,0.157351091212394,0.9416802610114192,6.651375599903986
29,0.1688884872742617,0.9392332789559543,6.6447878000326455
30,0.1668520234829061,0.9384176182707994,6.648353700060397
31,0.13140806995733334,0.9514681892332789,6.6532776998355985
32,0.1407811032033861,0.9510603588907015,6.666922100121155
33,0.13106630038816428,0.9543230016313213,6.644924300024286
34,0.1278426374930153,0.9543230016313213,6.650833399966359
35,0.12564865807238448,0.9526916802610114,6.638152600033209
36,0.12832739516533606,0.9526916802610114,6.655310699949041
37,0.11947333060362988,0.9555464926590538,6.641611899947748
