model_name,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
mobilenet_v3_large,0,slice_level,655,0.9419847328244275,0.9399684044233808,0.9395921735030646,0.9399684044233808,0.9343612901985544,0.950351717287323,0.9419847328244275,0.9413892659171177,0.9847003291570721,0.986048608762327,0.9157068747761541,0.9115443664174224,0.5946045160041147,0.10746602998505177,0.04758266390776564
mobilenet_v3_large,0,patient_level,47,0.9361702127659575,0.9444444444444445,0.9338624338624338,0.9444444444444445,0.9345321345321346,0.9434312732185073,0.9361702127659575,0.9352094713796842,0.9935542032905116,0.992761066275373,0.9081009678810192,0.9037542662116042,0.36136436780760267,0.1123847943324679,0.04604259657969856
mobilenet_v3_large,1,slice_level,479,0.9311064718162839,0.9329407540552078,0.9179802405498282,0.9329407540552078,0.9235478867662775,0.9372452865721111,0.9311064718162839,0.9325128445278182,0.9910847140793884,0.992412907251813,0.8959031623893268,0.8942265226643112,0.32070372336929526,0.11820606276703269,0.049216907751254944
mobilenet_v3_large,1,patient_level,46,0.9347826086956522,0.929514963880289,0.9470588235294118,0.929514963880289,0.9372072715725966,0.9369565217391305,0.9347826086956522,0.9350466467171273,0.9960486446376628,0.9952801377089233,0.8989919978784658,0.8983050847457628,0.11099111586523773,0.07046453176924358,0.034903468166748275
mobilenet_v3_large,2,slice_level,630,0.9619047619047619,0.938281550436939,0.9651154805130169,0.938281550436939,0.9500745493328839,0.9624220932731572,0.9619047619047619,0.9611737917977845,0.9915684672556311,0.9933316158281236,0.9389018896508462,0.9380865805120142,0.3017812569794636,0.07396283343147282,0.036188560083271086
mobilenet_v3_large,2,patient_level,47,0.9361702127659575,0.9285714285714285,0.9458333333333333,0.9285714285714285,0.9317034521788342,0.9417553191489362,0.9361702127659575,0.93380341725969,0.9841501011759632,0.9843989695191089,0.9075139673190719,0.9030927835051547,0.3010276477630539,0.1317667648177222,0.07544195387868528
mobilenet_v3_large,3,slice_level,572,0.9685314685314685,0.953042328042328,0.9705709876543209,0.953042328042328,0.9606794433714653,0.9688484200984201,0.9685314685314685,0.9679543454614024,0.9989597711065102,0.9991097217999392,0.9506896938233265,0.9501510574018127,0.08795655990392585,0.04727934282515679,0.022834314445867927
mobilenet_v3_large,3,patient_level,47,0.9574468085106383,0.9523809523809524,0.9616228070175438,0.9523809523809524,0.9545972771779224,0.9598964165733483,0.9574468085106383,0.9564408397627341,0.9979184289529117,0.9979768336334733,0.9375141516910336,0.9355723098012337,0.1030980359191497,0.06137710234852159,0.048825108494752176
mobilenet_v3_large,4,slice_level,595,0.9596638655462185,0.9667335410219363,0.9565794849518624,0.9667335410219363,0.9605887831129464,0.9625553859492053,0.9596638655462185,0.9600772219968747,0.9934419873879384,0.9928519407706524,0.9386097221865727,0.937464692512842,0.2089264694606765,0.06781710529161514,0.026726233184013688
mobilenet_v3_large,4,patient_level,46,0.9565217391304348,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9629629629629629,0.9610983981693364,0.9565217391304348,0.9565217391304348,0.9973481897968571,0.9968904436670553,0.9355783308931186,0.9328467153284672,0.10204051576732827,0.06551231590650777,0.058647386575354316
