epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.5106459907184198,0.8094731240021288,0.6628539202693051,0.8140043763676149,0.6306518106861355,0.6301224015767176,0.930240391175143,9.051349500194192
2,0.15823072828292972,0.9361362426822778,0.3931063793679084,0.8862144420131292,0.7440134151804632,0.7577997926797407,0.9461730406808231,9.039603699930012
3,0.09945270201233931,0.9686003193187865,0.35516521670443923,0.8971553610503282,0.7562629399585922,0.7714908802793629,0.9417826421561074,8.993451499845833
4,0.07055530824389719,0.9755188930282065,0.455768189187665,0.899343544857768,0.7427027714213068,0.7590811933746116,0.9375016002362816,9.028795499820262
5,0.04113231692909243,0.9840340606705694,0.3508107984026882,0.9037199124726477,0.7826262516193866,0.7986910784538934,0.9425850649285367,9.019661500118673
6,0.04295139215954001,0.9861628525811602,0.31046548943112745,0.9059080962800875,0.7925816957853571,0.8090550919968692,0.9552570268377544,9.03267060010694
7,0.027434321420744038,0.9914848323576371,0.3820521029770065,0.8971553610503282,0.7457566016490501,0.7619992461247315,0.946453550916892,9.048100699903443
8,0.03131735709284201,0.9904204364023417,0.3625446323435794,0.8949671772428884,0.7513133679609653,0.7729791692345618,0.9543012606377251,9.01712130010128
9,0.015127872239381715,0.9946780202235231,0.41044810341051585,0.8840262582056893,0.7445697577276524,0.7680741110388832,0.9661029019002929,9.007174900034443
10,0.020817685819777672,0.9904204364023417,0.35683775902190806,0.9387308533916849,0.8593518821207607,0.8819644372954726,0.9680655618856613,9.050823800032958
11,0.013442328819056389,0.9968068121341139,0.4802465010004837,0.9321663019693655,0.8324885280834938,0.861219381369569,0.9608732051347468,9.022310700034723
12,0.011574286321469767,0.9957424161788185,0.5328746048007298,0.9387308533916849,0.8503456709406366,0.8779286539518635,0.961918381239732,8.956337600015104
13,0.010208593391949764,0.9952102182011708,0.39249090007109955,0.9474835886214442,0.879158342716695,0.8991189078889654,0.9735212242209922,9.065085799898952
14,0.008876761285505868,0.9968068121341139,0.526232332462385,0.949671772428884,0.8766045548654245,0.8991658327118511,0.9628310409381055,9.032109200023115
15,0.016674989945081247,0.9962746141564662,0.4473738297123263,0.9474835886214442,0.8751552795031056,0.897548064059932,0.9440323219943766,8.964772999985144
16,0.009365036929603181,0.9978712080894092,0.5349037406365568,0.9452954048140044,0.8646997929606625,0.8883469769090101,0.9626139827743696,9.050507599953562
17,0.005558452735997131,0.9984034060670569,0.40234418507679154,0.949671772428884,0.8856107660455487,0.9022292522292522,0.9675626940655531,9.035116499988362
18,0.01014328545066362,0.9973390101117616,0.47011359204450187,0.9431072210065645,0.8677536231884058,0.8870726003557398,0.9629238692558634,9.042486899998039
19,0.009364694670849381,0.9978712080894092,0.47521400110712286,0.9431072210065645,0.8632505175983436,0.8872200063754189,0.9586503999521239,8.995327800046653
20,0.00691256637987594,0.9978712080894092,0.5242319968809576,0.949671772428884,0.8811076604554865,0.900810800270413,0.9616927731789721,8.97440079995431
21,0.0025410485633994275,0.9989356040447046,0.5687557438929906,0.9452954048140044,0.8692028985507246,0.8903700298781888,0.9665561454451964,8.975105799967423
22,0.0076587789949349875,0.9973390101117616,0.49536365418928596,0.936542669584245,0.8453933747412008,0.8688490953204943,0.974652787120235,8.972782699856907
23,0.00450012056767,0.9989356040447046,0.5514426038692032,0.9431072210065645,0.8677536231884058,0.8869200510484313,0.9674045591293439,9.012833300046623
24,0.006848203314829097,0.9968068121341139,0.5042461960436162,0.9452954048140044,0.8692028985507246,0.8926014380151598,0.9702755751380447,9.069254700094461
25,0.014174408267649657,0.9962746141564662,0.2710086006179036,0.9409190371991247,0.8798136645962732,0.8908369353887741,0.990376154306639,9.016005200101063
26,0.004303520722503371,0.9984034060670569,0.3488979987374613,0.949671772428884,0.899120082815735,0.9072529961956258,0.9845715675020998,9.049245300004259
27,0.0020562241558477043,1.0,0.4517826592225084,0.9452954048140044,0.8872153209109731,0.8974095593027093,0.9800166127060462,9.039553300011903
28,0.011605117314198934,0.9952102182011708,0.8408958250566997,0.9277899343544858,0.8125776397515528,0.8403858576745963,0.959084062602218,9.030248099938035
29,0.013301579111719199,0.9973390101117616,0.5170552153463376,0.9321663019693655,0.8444977177242623,0.8730589948043969,0.9701337276052918,9.029557900037616
30,0.003683730291654231,0.9994678020223523,0.5600800174082751,0.9452954048140044,0.8737060041407867,0.8924823439610448,0.9660917533126213,9.083603100152686
31,0.0012866735187998044,1.0,0.5764176344619244,0.9409190371991247,0.8798136645962732,0.8894621411396368,0.9653663743873323,9.02882230002433
32,0.00787280662240506,0.9973390101117616,0.5869416140043421,0.9518599562363238,0.8735507246376812,0.9009055562341981,0.9697405872554871,9.018146499991417
33,0.0034000006881328136,0.9994678020223523,0.6009097508059836,0.949671772428884,0.8766045548654245,0.8991658327118511,0.9711879326946024,9.052119700005278
