evaluation_level,metric,estimate,confidence_level,lower,upper,bootstrap_iterations,resampling_unit
slice_level,accuracy,0.9109518935516888,0.95,0.8852166712977027,0.9337074622881659,2000,patient
slice_level,balanced_accuracy,0.9100836934387506,0.95,0.8862000502943577,0.9324282610313339,2000,patient
slice_level,macro_f1,0.9048811530296229,0.95,0.8768946444411779,0.9287143274586569,2000,patient
slice_level,macro_roc_auc_ovr,0.9830482150126318,0.95,0.9746693656274382,0.9900016111761443,2000,patient
patient_level,accuracy,0.9184549356223176,0.95,0.8841201716738197,0.9527896995708155,2000,patient
patient_level,balanced_accuracy,0.9233388437545123,0.95,0.8885734174373336,0.9549931812026261,2000,patient
patient_level,macro_f1,0.9192826385532628,0.95,0.8827799674339556,0.9524475402162645,2000,patient
patient_level,macro_roc_auc_ovr,0.9867999206557312,0.95,0.9772490314874566,0.9948349722552186,2000,patient
