evaluation_level,metric,estimate,confidence_level,lower,upper,bootstrap_iterations,resampling_unit
slice_level,accuracy,0.9539406345957011,0.95,0.9348340576309535,0.9713590389804919,2000,patient
slice_level,balanced_accuracy,0.946275625404512,0.95,0.9230558081383485,0.9672520827570446,2000,patient
slice_level,macro_f1,0.9476627043777391,0.95,0.9253858127389878,0.9672804928844393,2000,patient
slice_level,macro_roc_auc_ovr,0.9900849790099437,0.95,0.9777101550230797,0.9975970955553918,2000,patient
patient_level,accuracy,0.9527896995708155,0.95,0.9227467811158798,0.9785407725321889,2000,patient
patient_level,balanced_accuracy,0.9533013905709916,0.95,0.9261206274215869,0.9785756881733338,2000,patient
patient_level,macro_f1,0.9509877551737466,0.95,0.9199275814348078,0.9773053743863159,2000,patient
patient_level,macro_roc_auc_ovr,0.9950207156309857,0.95,0.9889674360516071,0.9990683550869736,2000,patient
