epoch,train_loss,train_accuracy,epoch_seconds
1,1.0610239067898903,0.4828646748681898,7.895817700074986
2,0.9141454524859812,0.5852372583479789,7.791090700076893
3,0.8087451514544093,0.656414762741652,7.789632299914956
4,0.7717874029713482,0.671353251318102,7.790125400060788
5,0.7141506759898315,0.6862917398945518,7.8008520000148565
6,0.6705014832933255,0.7245166959578208,7.802961000008509
7,0.6302825122390774,0.7324253075571178,7.82395810005255
8,0.6359271262305901,0.734182776801406,7.777833099942654
9,0.5992845483320669,0.7684534270650264,7.79606240009889
10,0.5845802977864478,0.75,7.784987800056115
11,0.5747101353006748,0.7666959578207382,7.782256500096992
12,0.5402121414513915,0.796572934973638,7.827835600124672
13,0.4961638004897139,0.8141476274165202,7.784566400106996
14,0.4988100421868644,0.8084358523725835,7.802327399840578
15,0.4911364251993243,0.7987697715289982,7.7632963000796735
16,0.4582734440039248,0.820298769771529,7.792786899954081
17,0.4376801230366913,0.8299648506151143,7.779740399913862
18,0.4343407998722446,0.8317223198594025,7.785039399983361
19,0.3976389098722612,0.851493848857645,7.767503699986264
20,0.39554820653633826,0.8501757469244289,7.789915499975905
21,0.3609399049688517,0.8651142355008787,7.806827199878171
22,0.37950364127100455,0.8550087873462214,7.77914769994095
23,0.36876363484008867,0.8607205623901582,7.76165290013887
24,0.3399813498889206,0.8782952548330404,7.778934699948877
25,0.36379176074465464,0.8633567662565905,7.7759416999761015
26,0.33776229106688543,0.8699472759226714,7.7729816001374274
27,0.3079626699794994,0.8853251318101933,7.785052800085396
28,0.32654101546912706,0.8774165202108963,7.7904149000532925
29,0.34415981299874027,0.8774165202108963,7.776022299891338
30,0.30447631854374085,0.8892794376098418,7.787860100157559
31,0.29259011924581074,0.8936731107205624,7.809772400185466
32,0.3125674539623759,0.8835676625659051,7.797730199992657
33,0.30095169005787853,0.8853251318101933,7.806243499973789
34,0.2898004878384367,0.8897188049209139,7.7842193997930735
35,0.31863824198241814,0.8862038664323374,7.790363800013438
36,0.28973983953623444,0.8941124780316344,7.788429399952292
37,0.2716148727702759,0.9024604569420035,7.789759600069374
38,0.3031735881141703,0.8822495606326889,7.798433199990541
39,0.28738923420595996,0.8936731107205624,7.780469399876893
40,0.28772179261242775,0.8914762741652021,7.788842499954626
41,0.2640748446437355,0.9007029876977153,7.760389999952167
42,0.25488978383411215,0.906414762741652,7.7863481000531465
43,0.25460806452327117,0.9042179261862917,7.80705099995248
44,0.2549040873251816,0.9007029876977153,7.765641700010747
