variant,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
no_residual_standard_convolution,0,slice_level,655,0.732824427480916,0.7536367290505096,0.8024945921614197,0.7536367290505096,0.7318184599341325,0.8384988015892436,0.732824427480916,0.7434745776341763,0.949133131370037,0.9485135897023758,0.6493750908458767,0.6075480871286044,0.7751253292003393,0.4095899881257504,0.13500216808239937
no_residual_standard_convolution,0,patient_level,47,0.7446808510638298,0.7734204793028322,0.8333333333333334,0.7734204793028322,0.7492063492063492,0.8723404255319149,0.7446808510638298,0.757244174265451,0.9819531644075256,0.9808685322992001,0.6793090476176938,0.6289473684210527,0.49933099418347954,0.29517707940774157,0.09855278431606194
no_residual_standard_convolution,1,slice_level,479,0.8684759916492694,0.8652958477913951,0.8622473938047029,0.8652958477913951,0.859296300030245,0.8817203106079059,0.8684759916492694,0.8699736171969992,0.9783260133534964,0.9803202169623585,0.8035560382940031,0.7980417876885599,0.33882163056186243,0.19011077183217032,0.040129194045533736
no_residual_standard_convolution,1,patient_level,46,0.8478260869565217,0.8552115583075336,0.8448043184885291,0.8552115583075336,0.8426465884205605,0.8678929765886287,0.8478260869565217,0.8517592536130252,0.9775687434347269,0.9768171469820645,0.7728885224314163,0.7678442682047585,0.3640033638988323,0.21700738043401877,0.0816619625748762
no_residual_standard_convolution,2,slice_level,630,0.8857142857142857,0.8609851347946585,0.8561423804838998,0.8609851347946585,0.8557114919015971,0.893533606168128,0.8857142857142857,0.8870518321717609,0.9768177494006643,0.9825323941646578,0.8191574300567052,0.8167716917111003,0.28380058877469505,0.1632603075310649,0.03842986917453596
no_residual_standard_convolution,2,patient_level,47,0.8723404255319149,0.8640211640211639,0.883982683982684,0.8640211640211639,0.8683760683760684,0.8786957723127935,0.8723404255319149,0.8700490998363339,0.9777395257998706,0.9785073311990039,0.8108966853566941,0.8057851239669421,0.300492296332359,0.1700973855949034,0.11993274864742666
no_residual_standard_convolution,3,slice_level,572,0.6276223776223776,0.6667175417175417,0.7844742328034267,0.6667175417175417,0.6338113601131,0.7844292632718127,0.6276223776223776,0.5924116948619641,0.9319112097644706,0.9225998186596012,0.5243629466253814,0.4304706344309195,1.2675380358904527,0.5982141760225462,0.2590577415822244
no_residual_standard_convolution,3,patient_level,47,0.6170212765957447,0.6455026455026455,0.75625,0.6455026455026455,0.6064857642100935,0.7538563829787234,0.6170212765957447,0.5851490280210733,0.9701286261631089,0.9682379554903399,0.5241911812246149,0.4356237491661107,0.8339166631262557,0.5075527502004059,0.17820350487554895
no_residual_standard_convolution,4,slice_level,595,0.8722689075630252,0.8643185785819506,0.8673690514457149,0.8643185785819506,0.8638485419880769,0.8778735042715256,0.8722689075630252,0.8734514493529543,0.9744037320437705,0.9750751610815991,0.8022569750920979,0.800885929918188,0.30630824000948065,0.174162644246404,0.026186816382548855
no_residual_standard_convolution,4,patient_level,46,0.9347826086956522,0.929514963880289,0.94541910331384,0.929514963880289,0.9363408521303258,0.9371980676328503,0.9347826086956522,0.935142203334423,0.9939675271869856,0.9931423177300239,0.8991319494752179,0.8984547461368654,0.23944605610174255,0.12077410270668941,0.10823514328375927
