class_index,class_name,precision,sensitivity_recall,specificity,f1_score,roc_auc_ovr,support
0,meningioma,0.8500707213578501,0.8573466476462197,0.9524663677130045,0.8536931818181818,0.978848282082611,701
1,glioma,0.9424846625766872,0.9381679389312977,0.9537322640345466,0.9403213465952563,0.98891034183969,1310
2,pituitary,0.925,0.925,0.9656887120835406,0.925,0.9902730633688626,920
