epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,1.0352796203285985,0.4857450242065627,1.5014544335200632,0.47002398081534774,0.3333333333333333,0.21315932572050025,0.7134638018384644,7.305186999961734
2,0.8806764151442109,0.600322754168908,0.8627752754613935,0.6858513189448441,0.5952103452103451,0.6082842159236864,0.8311965456825599,7.245768200024031
3,0.7844933688223779,0.6611081226465841,0.658175006473093,0.7146282973621103,0.6404072118357833,0.645996920032088,0.882115648982353,7.243779800017364
4,0.75429174689563,0.691231845077999,0.6546982998470608,0.7026378896882494,0.631531167245453,0.6459753190719005,0.8842987760945746,7.2933254999807104
5,0.6919291501663397,0.7089833243679398,0.7048060325123995,0.6882494004796164,0.611820718963576,0.6291458753290815,0.8906137907429271,7.241200100048445
6,0.6402949499885134,0.7331898870360409,0.5749434391371637,0.762589928057554,0.6929063000491572,0.6974399754609276,0.9145727189177305,7.257687799981795
7,0.6360672772764326,0.7310381925766541,0.7788039936150293,0.6594724220623501,0.5540293040293041,0.5511386157893702,0.8848147567318912,7.279188800021075
8,0.5880064774643291,0.7563206024744487,0.665513969153809,0.7194244604316546,0.656300049157192,0.676500553709856,0.9045465195121944,7.324215100030415
9,0.5733855528623716,0.771382463690156,0.561076058472375,0.750599520383693,0.661929340500769,0.6630980743750338,0.9264400488831738,7.244965500081889
10,0.5158987873789442,0.7945131791285638,0.5812074692129231,0.7601918465227818,0.7035424892567749,0.7180964597954612,0.9209827221255162,7.1784631999908015
11,0.5210391647268072,0.7998924152770307,0.6076576697597686,0.7529976019184652,0.7355025926454498,0.7285316200663855,0.9236602378520989,7.223429000005126
12,0.4953863447939856,0.8101129639591178,0.5316806869755546,0.7865707434052758,0.7775914561628848,0.7659922079463506,0.921356042110054,7.258764700032771
13,0.49543336639005436,0.7977407208176439,0.5241538324802042,0.7721822541966427,0.6907299050156194,0.7008041918113861,0.9356067676253059,7.183731900062412
14,0.46818844171670765,0.8192576654115116,0.48405953612830716,0.815347721822542,0.7882355739498598,0.7854454913278444,0.9324746960779798,7.223360399948433
15,0.4791811831083075,0.8203335126412049,0.5074687406456442,0.7769784172661871,0.7075741718598861,0.7164056268716065,0.9370720111439691,7.200857499963604
16,0.44102674854128765,0.8310919849381387,0.5064566219024521,0.8081534772182254,0.7747332033046318,0.7797822581932538,0.9332223076741296,7.231771900085732
17,0.4314079043556119,0.8310919849381387,0.5170432330607224,0.7841726618705036,0.7256434042148326,0.7401344195377537,0.9357833693191374,7.237314200028777
18,0.45747559829832984,0.8262506724045185,0.4979035369426512,0.7913669064748201,0.7300120514406229,0.7419851766250072,0.9366072002214761,7.222218199982308
19,0.438830514855767,0.8327057557826789,0.5329302518630771,0.7817745803357314,0.72005772005772,0.7342823846029529,0.9309603240295727,7.256703500053845
20,0.43713607425857065,0.8316299085529855,0.49406250135647023,0.8081534772182254,0.7638115852401567,0.7780761137042855,0.9357463352392892,7.190987000009045
21,0.4219866637871944,0.8380849919311458,0.4536695540380135,0.8009592326139089,0.7549791478362907,0.7716415716415717,0.9459919012960176,7.258684000000358
22,0.38699555847114486,0.849919311457773,0.5046991885637494,0.7889688249400479,0.7052590266875981,0.7192540354632909,0.9443277287952979,7.261579200043343
23,0.39928822196126307,0.8456159225389994,0.4182738538483064,0.8225419664268585,0.7734368805797377,0.7906735131105403,0.9533816287299413,7.248091699904762
24,0.3952521936203473,0.8509951586874663,0.38707573504613746,0.8393285371702638,0.7884932527789671,0.8023176899794673,0.9587120145066209,7.202400300069712
25,0.39968336160751106,0.8440021516944594,0.5645077176910225,0.7817745803357314,0.7196335410621124,0.7428042004884331,0.9391432965186154,7.25065469997935
26,0.40127116953127484,0.849919311457773,0.42617517027208845,0.829736211031175,0.7765448836877408,0.7925967405110983,0.9539339094220409,7.231599800055847
27,0.38214346574896957,0.85852608929532,0.39717899627393954,0.8273381294964028,0.8117002045573475,0.8085829131962553,0.9538501473253153,7.230257599963807
28,0.36238677915929146,0.863905325443787,0.47534303638717823,0.815347721822542,0.7411913483342055,0.7552487417158855,0.9546243636182564,7.219950899947435
29,0.373593328946489,0.8590640129101668,0.39681259801776575,0.8441247002398081,0.7899005756148613,0.8048134594077085,0.9614750753416801,7.230810799985193
30,0.3349336204572414,0.8708983324367939,0.38215531004096964,0.8585131894484412,0.8180628894914609,0.8303102503823266,0.9656262034788924,7.246867200010456
31,0.3286171488507965,0.8741258741258742,0.44011833767096203,0.8225419664268585,0.7917043274186132,0.8023755492406895,0.9537888063354899,7.274707400007173
32,0.36397439858617164,0.8687466379774073,0.3904421424149252,0.8609112709832134,0.8223363937649651,0.8323152013074494,0.9621705401932615,7.211410099989735
33,0.33089782178177507,0.8811188811188811,0.3620992302224576,0.8513189448441247,0.8047151261436976,0.8165940303780514,0.9644793534359438,7.228201400022954
34,0.3110775461499572,0.884884346422808,0.3284985629453076,0.8657074340527577,0.8122948480091337,0.8290457135337627,0.9718346785180948,7.309752900036983
35,0.3277227609564118,0.8800430338891877,0.3300581382547351,0.86810551558753,0.8204018204018203,0.834237534295511,0.9722597201835782,7.205121700069867
36,0.28552159416925654,0.8881118881118881,0.29728605769735444,0.8729016786570744,0.8316247244818674,0.8456248066442967,0.9761313705504714,7.156741099897772
37,0.2888471214696885,0.8972565895642819,0.33917520534720635,0.8705035971223022,0.8194781409067122,0.834823409544863,0.9734925347850707,7.2461723000742495
38,0.3258028141973864,0.8757396449704142,0.29135721407348303,0.8705035971223022,0.8433669505098077,0.8474374779010541,0.9731718682764122,7.241785499965772
39,0.3251515167438179,0.8789671866594944,0.3239922960349124,0.8585131894484412,0.8439972725687012,0.8400470255683349,0.9695501646337016,7.219664599979296
40,0.2726030987709953,0.8940290478752018,0.33079708958987136,0.8609112709832134,0.8216545359402502,0.8297119530552367,0.9727139494942424,7.188413399970159
41,0.2677455698994137,0.898870360408822,0.33134133350863443,0.86810551558753,0.8506969221254935,0.8487430228501657,0.9717608489043683,7.177354900049977
42,0.27112208506880975,0.8902635825712749,0.2711460974237187,0.8752997601918465,0.8441439512868084,0.8501807560631089,0.9796039275493352,7.2116193999536335
43,0.2624414092177278,0.9031737493275955,0.3243700196292046,0.8465227817745803,0.8247268604411461,0.8255748918239707,0.9723138935973156,7.197160099982284
44,0.32950260479357885,0.8773534158149543,0.384004844410671,0.8609112709832134,0.8198151055293913,0.8306714743629066,0.9616230912357527,7.045421299990267
45,0.3044867880117387,0.8805809575040344,0.2799086555195369,0.882494004796163,0.8422093779236636,0.8572346430321303,0.9799385526500739,7.036399099975824
46,0.2839269816971646,0.8881118881118881,0.26818263882713067,0.8776978417266187,0.8310380096094382,0.8462767415698472,0.98356344091588,7.094562300015241
47,0.2980556460463148,0.891877353415815,0.3201738406749938,0.8729016786570744,0.8275851132993991,0.8415200103333899,0.977538196556603,7.090710800024681
48,0.2753327228870361,0.9015599784830554,0.2855833952161048,0.8800959232613909,0.8372540158254443,0.8501768453403965,0.9798646961485225,7.070233899983577
49,0.27185616394952783,0.8977945131791286,0.363736331444993,0.8633093525179856,0.8197278911564626,0.8387623503562818,0.9712058741174942,7.074646499939263
50,0.2504631769855924,0.9085529854760624,0.2626326247799597,0.8872901678657075,0.8667721167721169,0.8650871831986383,0.9818248420674598,7.046966599998996
