epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,1.0316888142660445,0.46538024971623154,1.4081870057703456,0.5038910505836576,0.34458982792316123,0.26327794069729554,0.6879816027551255,5.922196599887684
2,0.8629027945703058,0.6293984108967083,0.7227221117409287,0.6964980544747081,0.6293901043901045,0.6432733981253471,0.867497937916568,5.844131299993023
3,0.7797858966736463,0.6645856980703746,0.690487440226143,0.7003891050583657,0.6180347013680347,0.6403584719374193,0.8793913624658826,5.845946300076321
4,0.7337806430496233,0.6804767309875142,0.7080412145834488,0.6926070038910506,0.621056771056771,0.6137510054478915,0.8813717581290496,5.880992699880153
5,0.6738898559609824,0.7145289443813848,0.6254305000551016,0.7354085603112841,0.6777420277420277,0.6517733850318578,0.9012063084999866,5.8514438001438975
6,0.576225288880399,0.764472190692395,0.5687561903714206,0.7431906614785992,0.6959983793317126,0.6763374448627353,0.9195489862427091,5.905534599907696
7,0.606148948328449,0.7480136208853575,0.5421625816984399,0.7354085603112841,0.6794890128223461,0.6432836226131943,0.9343238672580444,5.868391399970278
8,0.5747729476274887,0.7604994324631101,0.5874679080475165,0.7529182879377432,0.6831581581581582,0.6799479051680662,0.9232910400786061,5.864673800067976
9,0.5307965430174187,0.7832009080590239,0.5634465409508012,0.7392996108949417,0.6683898183898184,0.631172907222399,0.9390546885628216,5.84733200003393
10,0.493255248270024,0.8064699205448355,0.37491383325265076,0.8540856031128404,0.8624028790695458,0.8476885659895596,0.954844345919958,5.846850799862295
11,0.46098264094514013,0.811577752553916,0.38477942730202286,0.8365758754863813,0.803889603889604,0.8222500168329764,0.9614090322958707,5.867371900007129
12,0.467869237927925,0.8183881952326901,0.4536591729997197,0.7937743190661478,0.7389699223032556,0.7269505260740127,0.9618126134203965,5.858899799874052
13,0.4668672978539743,0.8217934165720772,0.3328161759715136,0.8715953307392996,0.860568902235569,0.857937737049577,0.9640633228992906,5.84753379994072
14,0.4482243445349876,0.8274687854710556,0.37271010742345206,0.8385214007782101,0.7981302731302732,0.8044980118324503,0.9687207025441268,5.853428900009021
15,0.4148827899801339,0.837116912599319,0.5249307723788378,0.7840466926070039,0.7382418132418133,0.725268391863192,0.9498061119790213,5.858590999851003
16,0.4683132669576586,0.8132803632236095,0.4138468636076622,0.8385214007782101,0.8150936650936651,0.8091487818057735,0.9629481295334372,5.850603400031105
17,0.40878034443102956,0.8456299659477866,0.3833779153597074,0.8482490272373541,0.8179298345965013,0.8163332079637716,0.9692935055823608,5.839340299833566
18,0.3579709505520668,0.8575482406356413,0.35086138481056817,0.8638132295719845,0.8389699223032556,0.8395954498036108,0.9734370809889225,5.858043599873781
19,0.39497085407832966,0.8518728717366629,0.28534605290291376,0.8949416342412452,0.8915379665379666,0.887632587281488,0.9744977524442732,5.858935700030997
20,0.36471677015912923,0.85527809307605,0.32256299804838134,0.8715953307392996,0.8834954001620668,0.8650325017832454,0.9719237885447335,5.8660226000938565
21,0.39678564190729254,0.8484676503972758,0.35418208543907,0.8657587548638133,0.8456027456027456,0.8442851727097057,0.9724823825329417,5.850388699909672
22,0.4159232489637836,0.8518728717366629,0.3586156103281659,0.8599221789883269,0.8316673816673817,0.8356011279113892,0.9680944521939701,5.861152299912646
23,0.33104872865925855,0.8740068104426788,0.28429200886911804,0.8832684824902723,0.865926640926641,0.8673981810454224,0.978068908158086,5.866466599982232
24,0.39348888869960785,0.8513053348467651,0.25821214707763973,0.9085603112840467,0.9028588111921444,0.8974659970083311,0.984151445956142,5.854647700209171
25,0.3381869968842973,0.8711691259931895,0.2949836195196507,0.8852140077821011,0.8984675151341818,0.8783545893008754,0.9762099464151666,5.848059499869123
26,0.4792933081119204,0.8127128263337117,0.4207199399544339,0.8073929961089494,0.7641212641212641,0.7635843439629163,0.9577428760952348,5.862407600041479
27,0.41913204556849026,0.8365493757094211,0.40468284950667727,0.8599221789883269,0.854285237618571,0.8437784735886034,0.9636289146930951,5.834957000100985
28,0.3507072013569203,0.8592508513053349,0.2756512726399801,0.8949416342412452,0.8831581581581581,0.8830984864489659,0.9791725505078813,5.878314999863505
29,0.3740198468783116,0.8422247446083996,0.289425754492037,0.8871595330739299,0.8807354974021641,0.878549929474314,0.9759585785233579,6.269754200009629
