model_name,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
regnet_y_400mf,0,slice_level,655,0.9480916030534351,0.9466551773660777,0.9453896808198087,0.9466551773660777,0.9423344840611027,0.9533394838307127,0.9480916030534351,0.9474455955745428,0.9814312019698788,0.9828341908266911,0.923607543594153,0.9207546632695907,0.46192262120020816,0.10106267926410335,0.04525786610161156
regnet_y_400mf,0,patient_level,47,0.9574468085106383,0.9629629629629629,0.9558404558404558,0.9629629629629629,0.9575350140056021,0.9602655028186944,0.9574468085106383,0.9569247273377436,0.9974156712493426,0.9971142088530204,0.937503537862678,0.9355723098012337,0.22939655711330503,0.1036855955561557,0.06265238987048807
regnet_y_400mf,1,slice_level,479,0.9352818371607515,0.9390569620062781,0.9224245406824148,0.9390569620062781,0.9283275342833043,0.9424745820525046,0.9352818371607515,0.9367777727626309,0.9933652179625473,0.9941671812536371,0.902890215218559,0.9007724897424588,0.24756826067219737,0.10974247001128479,0.048452295784608856
regnet_y_400mf,1,patient_level,46,0.9347826086956522,0.929514963880289,0.9333333333333332,0.929514963880289,0.930924630924631,0.9369565217391305,0.9347826086956522,0.9352893483328266,0.9977745289148797,0.9977858293075684,0.8994886057973992,0.8988269794721407,0.11055637065132551,0.06717692756827763,0.02845404705695631
regnet_y_400mf,2,slice_level,630,0.946031746031746,0.9246628475951785,0.9526011857283461,0.9246628475951785,0.9365003075374974,0.9470732287541456,0.946031746031746,0.9453351608471837,0.9924570592408882,0.9924410708985373,0.9132127160832288,0.9124162802679031,0.22634802351527805,0.09082480931675362,0.03662019984352606
regnet_y_400mf,2,patient_level,47,0.8936170212765957,0.8915343915343915,0.9074074074074074,0.8915343915343915,0.8926599326599326,0.9042553191489362,0.8936170212765957,0.8926885880077369,0.9863665389527458,0.98486793837124,0.8443814537670136,0.839151266255989,0.23707508150860765,0.13911887211127624,0.057615978840851644
regnet_y_400mf,3,slice_level,572,0.972027972027972,0.9656084656084656,0.969932297889287,0.9656084656084656,0.9675288736420811,0.9721741818516011,0.972027972027972,0.9718852810996893,0.9993048366689671,0.9993852614776528,0.9561505419097955,0.955928808074582,0.06120563345588454,0.03797677581453058,0.012963460245632573
regnet_y_400mf,3,patient_level,47,0.9787234042553191,0.9814814814814815,0.9777777777777779,0.9814814814814815,0.9789819376026273,0.9801418439716312,0.9787234042553191,0.9787862907452048,0.9987228607918263,0.9985326485693323,0.9686455155476271,0.967983651226158,0.08389831480066035,0.03688070684945462,0.05402212755097038
regnet_y_400mf,4,slice_level,595,0.9512605042016806,0.9634851125310931,0.9458159158895807,0.9634851125310931,0.9527088160653205,0.9555461963791042,0.9512605042016806,0.9513807827003692,0.992670465551532,0.991908651617793,0.9271345624249336,0.9248331561797557,0.2156743996545192,0.08358227463268257,0.030784556573017853
regnet_y_400mf,4,patient_level,46,0.9565217391304348,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9629629629629629,0.9610983981693364,0.9565217391304348,0.9565217391304348,0.9973481897968571,0.9968904436670555,0.9355783308931186,0.9328467153284672,0.11033971323159662,0.06392691117361463,0.0412191770525298
