model_name,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
densenet121,0,slice_level,655,0.9419847328244275,0.9414390348987505,0.9379292929292928,0.9414390348987505,0.9356048497786381,0.9485318066157762,0.9419847328244275,0.9417334597000331,0.9768451481060318,0.9783310648713978,0.914740626507864,0.9116184930047582,0.43921404678669623,0.10326463311080401,0.04362815420327295
densenet121,0,patient_level,47,0.9574468085106383,0.9629629629629629,0.9523809523809524,0.9629629629629629,0.9547511312217195,0.9635258358662614,0.9574468085106383,0.9578319052661981,0.9866082831600073,0.9858295776124096,0.9383702514887611,0.9357923497267759,0.2752328498872206,0.08203261263893,0.05773592465007771
densenet121,1,slice_level,479,0.941544885177453,0.9389163123763562,0.9298513333086408,0.9389163123763562,0.9336999695496028,0.9441189592165465,0.941544885177453,0.9421114121903638,0.9932511434579773,0.9942321055319802,0.9106179953935664,0.9098255946858149,0.21964886798144248,0.09484984356917336,0.0404400312365564
densenet121,1,patient_level,46,0.9347826086956522,0.9315789473684211,0.9208754208754208,0.9315789473684211,0.9253539253539254,0.9375274483970135,0.9347826086956522,0.9354540876280006,0.997498375568551,0.9979871175523349,0.9003063813769417,0.8996363636363637,0.09227067696019253,0.05357028338965633,0.06325886673967035
densenet121,2,slice_level,630,0.946031746031746,0.9087135828990466,0.9599700043523139,0.9087135828990466,0.9287352692241316,0.9493692845826713,0.946031746031746,0.9442721359783394,0.9898998460348398,0.9921860580071987,0.9142984148169291,0.9115000371848583,0.24009398988716055,0.09157705199508717,0.03754745747824943
densenet121,2,patient_level,47,0.9148936170212766,0.9047619047619048,0.9393939393939394,0.9047619047619048,0.9111111111111111,0.9303675048355899,0.9148936170212766,0.9120567375886525,0.9987228607918263,0.9985326485693323,0.8801080410577024,0.8701657458563536,0.19764224462162333,0.11796260534184143,0.05115427340772176
densenet121,3,slice_level,572,0.9877622377622378,0.9890873015873015,0.9813110865742445,0.9890873015873015,0.9849953467015413,0.9882188722821774,0.9877622377622378,0.9878347441895593,0.9995424286864504,0.9996280214350867,0.9809583403053096,0.9808068412777543,0.035673099146721864,0.017539898265410338,0.004040121918753591
densenet121,3,patient_level,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0275906000135324,0.009532164452227978,0.023823011571179435
densenet121,4,slice_level,595,0.9512605042016806,0.9518257348254221,0.945306121915458,0.9518257348254221,0.9483272174854814,0.9523187473662469,0.9512605042016806,0.9515447789466619,0.9914286642278594,0.9908428639824213,0.9244505702690067,0.9241695122326377,0.17050207432809325,0.07830335305264417,0.025107280609218227
densenet121,4,patient_level,46,0.9565217391304348,0.9628482972136223,0.9628482972136223,0.9628482972136223,0.9628482972136223,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.99669841721726,0.9960852906879893,0.9326500732064422,0.9326500732064422,0.11087085123873569,0.06265106397513102,0.06365470294615533
