evaluation_level,metric,estimate,confidence_level,lower,upper,bootstrap_iterations,resampling_unit
slice_level,accuracy,0.9535994541112248,0.95,0.9325916496270689,0.9708285798799023,2000,patient
slice_level,balanced_accuracy,0.9458706952074376,0.95,0.9210792911323974,0.9664618744326104,2000,patient
slice_level,macro_f1,0.9474016879432862,0.95,0.9230592699999505,0.9667154337458277,2000,patient
slice_level,macro_roc_auc_ovr,0.9883059595642111,0.95,0.9734141749211029,0.9972006342370958,2000,patient
patient_level,accuracy,0.9527896995708155,0.95,0.9227467811158798,0.9785407725321889,2000,patient
patient_level,balanced_accuracy,0.9542929717082601,0.95,0.9273131399163601,0.9780032920665832,2000,patient
patient_level,macro_f1,0.9525330646750979,0.95,0.9227060195088974,0.9777445096856356,2000,patient
patient_level,macro_roc_auc_ovr,0.9942692336626807,0.95,0.9856997114851254,0.9993603597544157,2000,patient
