model_name,label,training_regime,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_roc_auc,slice_accuracy,slice_balanced_accuracy,slice_macro_f1,slice_macro_roc_auc,total_parameters,gflops,mean_latency_ms_per_image,mean_throughput_images_per_second,mean_peak_gpu_memory_mb,delta_patient_accuracy_vs_dsse,delta_patient_macro_f1_vs_dsse,parameter_ratio_vs_dsse,gflops_ratio_vs_dsse
dsse_net,DSSE-Net,From scratch,0.9098712446351931,0.9155608989942744,0.9072595388144106,0.9904230060873317,0.917093142272262,0.9071864881282394,0.9075347327676546,0.9848120043147425,287881,0.299073184,0.40878457244157973,2446.3650656071513,322.4013671875,0.0,0.0,1.0,1.0
resnet50,ResNet-50,ImageNet-1K full fine-tuning,0.9570815450643777,0.9603087603909747,0.9576800270545659,0.9936780755947994,0.944387581030365,0.9393720017189736,0.9383861766577342,0.9885597060627375,23514179,4.131700736,0.5739044941460854,1782.7731059936104,768.58779296875,0.047210300429184615,0.050420488240155326,81.68020466790097,13.815015712007133
densenet121,DenseNet-121,ImageNet-1K full fine-tuning,0.9527896995708155,0.9542929717082601,0.9525330646750979,0.9942692336626807,0.9535994541112248,0.9458706952074376,0.9474016879432862,0.9883059595642111,6956931,2.895986176,0.7264909984292083,1376.6943057351305,475.64677734375,0.04291845493562241,0.045273525860687336,24.16599567182273,9.683202409748645
mobilenet_v3_large,MobileNetV3-Large,ImageNet-1K full fine-tuning,0.944206008583691,0.9468023350041402,0.94480815684203,0.9920658374631816,0.9532582736267485,0.946160898272646,0.9469002226987508,0.9899463535484155,4205875,0.233562296,0.2081067396672766,4805.905803424933,335.1669921875,0.03433476394849788,0.03754861802761944,14.609769314404216,0.7809536544740835
efficientnet_b0,EfficientNet-B0,ImageNet-1K full fine-tuning,0.9527896995708155,0.9533013905709916,0.9509877551737466,0.9950207156309857,0.9539406345957011,0.946275625404512,0.9476627043777391,0.9900849790099437,4011391,0.413868864,0.44919783085268905,2226.2525807050424,465.1818359375,0.04291845493562241,0.04372821635933599,13.934198505632535,1.3838380909469972
regnet_y_400mf,RegNet-Y-400MF,ImageNet-1K full fine-tuning,0.944206008583691,0.9477615018991798,0.9447372553315804,0.9946691866413334,0.9508700102354145,0.9473613509315081,0.9460089103128553,0.9886696992533537,3904467,0.417744672,0.3661280620908852,2732.062130006112,358.66552734375,0.03433476394849788,0.0374777165171698,13.56278114915538,1.396797487534021
