epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.5639320834071253,0.7667014613778705,0.5460519034491167,0.7923250564334086,0.8110813305935257,0.7718121855025158,0.967738832287397,11.177235499955714
2,0.19194904787928674,0.9243215031315241,0.3419100447614629,0.8826185101580135,0.8943268113999822,0.8701151061611117,0.980200756461361,11.049421499948949
3,0.10872816051782297,0.9660751565762005,0.27009771057902826,0.9029345372460497,0.883568599422258,0.8890948318132784,0.9818062943899312,11.012430900009349
4,0.07775749028942282,0.9765135699373695,0.19506094552593362,0.927765237020316,0.9233479257869502,0.920058915676646,0.9898590384195999,11.03960349992849
5,0.05736727571982058,0.9796450939457203,0.2881474939824563,0.9187358916478555,0.9110232585842342,0.9129157470327303,0.9807623703992561,11.078015899984166
6,0.03722938685240477,0.988517745302714,0.22806582771952244,0.9322799097065463,0.9335432859823104,0.9263612978508587,0.9871261317344829,11.047846599947661
7,0.05154821657359849,0.9822546972860126,0.2736818857289195,0.9029345372460497,0.8993805652342238,0.8909429714236726,0.9847228295152747,11.074303600005805
8,0.03497787386894475,0.9890396659707724,0.265459528917123,0.9119638826185101,0.8865347389737633,0.8991990054000701,0.9891985238974756,11.041941500036046
9,0.02514783936962952,0.994258872651357,0.181150149842556,0.9413092550790068,0.934573691890765,0.9372393824657123,0.9938922363182536,11.034386900020763
10,0.020124685709483316,0.994258872651357,0.2584708745540887,0.9164785553047404,0.908990738259031,0.908106910720349,0.9893072919596678,11.036183800082654
11,0.024833150361596543,0.9926931106471816,0.27206944481629464,0.9142212189616253,0.8979257869501772,0.9019292002814056,0.9826782541325297,11.063842199975625
12,0.014824189675392462,0.9947807933194155,0.17390874639110382,0.9503386004514672,0.9327019863605229,0.9399888056868794,0.9928872234143126,11.038497100118548
13,0.012427461168306854,0.9958246346555324,0.16974180815536444,0.9367945823927766,0.9269603025700587,0.9305227893908453,0.992115403995868,11.052205099957064
14,0.015216951807746994,0.9958246346555324,0.19896243722756177,0.9345372460496614,0.9165386104410495,0.9250399824736469,0.9901960781139327,11.035862399963662
15,0.008603486368560965,0.9984342379958246,0.18634512501897338,0.9503386004514672,0.9401218023169243,0.94543896285669,0.9922792753144788,11.041454500053078
16,0.01975205993680342,0.9937369519832986,0.22523018390015945,0.9322799097065463,0.9167649423746985,0.9235446461312797,0.99195346798275,11.064480900065973
17,0.01619980086733846,0.994258872651357,0.21119526010343034,0.9480812641083521,0.9345409333214212,0.9404818310450689,0.9890951305911999,11.019131700042635
18,0.014937598758915708,0.9963465553235908,0.24281887127124363,0.9390519187358917,0.9367357574674647,0.935134074144309,0.9888709507809464,11.061392599949613
19,0.009093948171351549,0.9979123173277662,0.2541092284965596,0.9300225733634312,0.9244110902647488,0.9247586019947468,0.9883667831064656,11.073466399917379
20,0.011852750410073066,0.9953027139874739,0.2281727742016921,0.9390519187358917,0.934153786592811,0.933616997491738,0.9918690581397221,11.066270899958909
