variant,outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
without_residual,0,slice_level,655,0.9236641221374046,0.923852518850696,0.9170615178077864,0.923852518850696,0.9176250035544449,0.9287113143840956,0.9236641221374046,0.9237973686011899,0.9835287031343696,0.9849169802810265,0.8860226360109239,0.8838586586472992,0.2381345745013903,0.13157345782856902,0.03761912500580913
without_residual,0,patient_level,47,0.9574468085106383,0.9629629629629629,0.9523809523809524,0.9629629629629629,0.9547511312217195,0.9635258358662614,0.9574468085106383,0.9578319052661981,0.9931490603904397,0.9930405617859763,0.9383702514887611,0.9357923497267759,0.20603732787213438,0.10099901973523807,0.1101731178109908
without_residual,1,slice_level,479,0.906054279749478,0.8969902346497064,0.8905365737862031,0.8969902346497064,0.8933868824471549,0.9088130691378418,0.906054279749478,0.907071503025229,0.9862980270396077,0.9882705909177802,0.8552463011423176,0.8548738941330137,0.21402609901212669,0.1265687807176426,0.030391407253482508
without_residual,1,patient_level,46,0.8913043478260869,0.8964912280701754,0.8766025641025642,0.8964912280701754,0.8799171842650103,0.9072951505016722,0.8913043478260869,0.8937348096138267,0.9914717348927876,0.9921497584541062,0.8403889981160312,0.8348887293610912,0.20447527138639376,0.11192906188526915,0.1057935548619804
without_residual,2,slice_level,630,0.9206349206349206,0.9071289334447229,0.8983408760942497,0.9071289334447229,0.9018687930712916,0.9236544617155842,0.9206349206349206,0.9215073411845925,0.9874894619609709,0.9898455495024681,0.8734110126495216,0.8728567276954373,0.20071458873273607,0.11092865657872751,0.022485424850945585
without_residual,2,patient_level,47,0.9574468085106383,0.9523809523809524,0.9666666666666667,0.9523809523809524,0.9568151147098516,0.9617021276595745,0.9574468085106383,0.9569299681281763,0.9945597186976497,0.9944863158362792,0.9380485644622124,0.9354395604395604,0.1720653172384867,0.08999248992070906,0.10273415528493601
without_residual,3,slice_level,572,0.9143356643356644,0.9087047212047211,0.9066027864133875,0.9087047212047211,0.9058176796582701,0.9195730485694751,0.9143356643356644,0.9147548527954136,0.9889513905478579,0.9899248509642532,0.8684764851415159,0.865876768179469,0.2398977150234719,0.13266713921394443,0.023181039455753612
without_residual,3,patient_level,47,0.8936170212765957,0.8968253968253969,0.8979700854700855,0.8968253968253969,0.8934442463854229,0.8999590834697216,0.8936170212765957,0.8928332132337138,0.9917566469290607,0.9918184041441561,0.8440500373815008,0.8400272294077604,0.2699229538632817,0.14095442301235683,0.0798318643972903
without_residual,4,slice_level,595,0.9126050420168067,0.9125884194698708,0.9084018727589264,0.9125884194698708,0.9103871496274111,0.9132197915211353,0.9126050420168067,0.9128032118895464,0.9850826738073956,0.984907648320033,0.8639367361741519,0.8638150278840271,0.23502815632699017,0.12492561897323981,0.023443676185790116
without_residual,4,patient_level,46,0.9565217391304348,0.9628482972136223,0.9521531100478469,0.9628482972136223,0.956482114376851,0.958498023715415,0.9565217391304348,0.9567099567099567,0.9951490786541141,0.9946207451829641,0.9336823976210549,0.932993445010925,0.20899088894243076,0.10482248546279062,0.11324496385113977
