outer_fold,inner_fold,best_epoch,best_validation_macro_f1
1,0,39,0.8622521434798252
1,1,39,0.9770803342231913
1,2,42,0.9370859031604518
1,3,49,0.8935783864667383
1,4,47,0.9488093226351801
