outer_fold,inner_fold,best_epoch,best_validation_macro_f1
2,0,38,0.9215826917957095
2,1,31,0.9271018573853563
2,2,39,0.9266767670196824
2,3,46,0.928461205866833
2,4,38,0.9242047779562229
