epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,1.0576065492921842,0.4741883980840873,1.7548903740730537,0.4989059080962801,0.343944099378882,0.25186876146994314,0.7154843566444814,7.582233200082555
2,0.8647558886107769,0.6248004257583821,0.765645929447149,0.6761487964989059,0.5258517670989066,0.5349948390104219,0.8287500106480413,7.569316799985245
3,0.8028169069092219,0.6631186801490154,0.7403339296253296,0.6673960612691466,0.5200546656496313,0.5276129085312166,0.8529644472877971,7.569334799889475
4,0.7414317333425468,0.6796168174560937,0.6735467305590339,0.7330415754923414,0.6155618514886249,0.6284855811185835,0.8586621592709345,7.552163500105962
5,0.674512921954927,0.729643427354976,0.5475246109378156,0.7986870897155361,0.6920538060126161,0.713232112972646,0.9041417982257461,7.560585700208321
6,0.6327661405921681,0.7493347525279404,0.598911944850138,0.7614879649890591,0.6373917886503698,0.6352234626579714,0.8947455577280192,7.544195699971169
7,0.5889579253097745,0.7631718999467803,0.5001007265022077,0.8008752735229759,0.6689901081205428,0.700788132277494,0.933481640110679,7.497229899978265
8,0.5734479688088141,0.7802022352315061,0.4831393263272175,0.811816192560175,0.7327685154916276,0.733525984976538,0.9297897794019705,7.515239499974996
9,0.540056921307745,0.7903139968068121,0.47320840056146,0.8052516411378556,0.7359267734553776,0.7315225389719832,0.9292045531642924,7.477247599978
10,0.5136867994447538,0.8030867482703565,0.5197889277593312,0.7986870897155361,0.744585497560326,0.7371667215311795,0.9259151535479768,7.488270699977875
11,0.4907071031491258,0.8105375199574242,0.525227301034677,0.7899343544857768,0.7548006489654085,0.729423471657522,0.9210528987885999,7.542889600154012
12,0.4653010912370403,0.817456093666844,0.42471180950786663,0.824945295404814,0.7389639557831776,0.7483422756610683,0.9372832724169388,7.519839299842715
13,0.46354224740221756,0.8281000532197977,0.3757251905403722,0.838074398249453,0.8092029590885425,0.7849628264118502,0.9563595949634722,7.511925500119105
14,0.43215161844287037,0.8334220329962746,0.3952370037526479,0.8533916849015317,0.8033329095686076,0.8048515972459223,0.9534394307501071,7.537872399901971
15,0.4329943734004562,0.8339542309739223,0.3813676161760835,0.838074398249453,0.7571631373118787,0.7692158893960931,0.9553598225525883,7.5053042999934405
16,0.3887956290247594,0.844598190526876,0.4770812358079515,0.8161925601750547,0.8092168827866768,0.7681917454644728,0.9408422009874671,7.502294100122526
17,0.40970596924083164,0.8360830228845131,0.4611180437651322,0.8227571115973742,0.7995553497269744,0.766969114366447,0.9437629677995306,7.532499699853361
18,0.38589863495791193,0.8483235763704098,0.4999287338352699,0.8008752735229759,0.7420317097090553,0.7281601491085962,0.9383749971356066,7.510504399891943
19,0.3787342794021436,0.8579031399680681,0.35557739514881986,0.8468271334792122,0.7239324155800128,0.73725047430504,0.9584515789549631,7.493824000004679
20,0.3567177112382292,0.8749334752527941,0.27115516317295035,0.9080962800875274,0.8510739408908745,0.8607434378049069,0.9710881860083423,7.437278699828312
21,0.33638926748902065,0.8754656732304418,0.5609940471824593,0.7855579868708972,0.7503992469095445,0.7249433208899653,0.94149236143584,7.553852699929848
